year,state,county,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,other_nh_exposure,other_nh_exposure_quality,white_nh_exposure,white_nh_exposure_quality
2018,01,001,0.739962679495502,1,0.9293954372152466,2,0.9579599768425687,1,0.23276519069787177,1
2018,01,003,0.7998583747234371,1,0.9240089744036264,1,0.9578581497606581,1,0.15763594130440173,1
2018,01,005,0.4902415626363391,1,0.9354917363033972,1,0.9697053137183876,2,0.5097745110535488,1
2018,01,007,0.614536029675357,1,0.9638815707920356,2,0.9866148857878803,2,0.19844846344585615,1
2018,01,009,0.9702573107347412,2,0.8520011053785991,1,0.9722417495295312,1,0.12119263712475553,1
2018,01,011,0.21267984959839903,1,0.9941175056267364,3,0.968625980936825,3,0.7165135230051962,1
2018,01,013,0.4475761920893148,1,0.9905377956625631,3,0.9499322786722624,2,0.3958599624145722,1
2018,01,015,0.6069246748493978,1,0.9087706722020144,1,0.9418142198713143,1,0.21814432426317212,1
2018,01,017,0.5580534369521203,1,0.9479362400610211,2,0.9611784555620814,1,0.4085355333899883,1
2018,01,019,0.9389300270558845,1,0.9793785722242339,2,0.9742592218315236,2,0.08058848816682818,1
2018,01,021,0.8405488265760789,1,0.8458848771819356,1,0.9487675594079292,2,0.18376301684437724,1
2018,01,023,0.4024467046043604,1,0.9854694307651835,3,0.9931457204791807,3,0.30633929848840474,1
2018,01,025,0.5000939899824803,1,0.9929683121606719,3,0.9847567511145368,2,0.4374214655483693,1
2018,01,027,0.8357851194926946,1,0.9390096589805241,2,0.9765408199171883,2,0.18967335028546428,1
2018,01,029,0.9562135748488808,1,0.9463639088708256,1,0.9703884040163802,2,0.07187895525325994,1
2018,01,031,0.7455619881684994,1,0.8859398467484918,1,0.9302647581345828,1,0.2646182623047136,1
2018,01,033,0.7684988761529822,1,0.9580669822960931,1,0.9579143323164305,1,0.19621419586679395,1
2018,01,035,0.48191933326028563,1,0.9592656356323959,3,0.9686055172329595,2,0.46499681878067756,1
2018,01,037,0.43583549820418627,1,0.9855114459576935,3,NA,NA,0.23148699089322503,1
2018,01,039,0.7618333037854554,1,0.9754429224980107,1,0.9726816812118286,1,0.1488575333041722,1
2018,01,041,0.7593528213021105,1,0.9470071781408415,2,0.9346057761152912,1,0.28309812800770523,1
2018,01,043,0.9538886116052717,1,0.9259836497170113,1,0.9574641033557548,1,0.07719702460403553,1
2018,01,045,0.7141000931147661,1,0.8878559288715147,1,0.9359293912790136,1,0.27993491342260524,1
2018,01,047,0.2257704245606589,1,0.9644919333985138,2,0.9721179107192309,2,0.5466888978573515,1
2018,01,049,0.9674004290393264,1,0.7381405176401599,1,0.9550267678494804,1,0.1736279603307669,1
2018,01,051,0.7519484976841699,1,0.9497486472908933,1,0.9584297147850023,1,0.2521131871455948,1
2018,01,053,0.5647587760435753,1,0.9593837752886858,2,0.8733122166881401,1,0.34137434729445393,1
2018,01,055,0.5820876835529204,1,0.8769604603612904,1,0.9562553085340226,1,0.15061722969421829,1
2018,01,057,0.8166633663415701,1,0.9497335359768787,2,0.9726110537265231,2,0.13889966051578545,1
2018,01,059,0.9140178709977443,1,0.6774165136986205,1,0.9725706017542769,2,0.1757332366682221,1
2018,01,061,0.8874262445607903,1,0.9471441540402308,1,0.9650433446884085,1,0.15649597080792566,1
2018,01,063,0.2035807898536294,1,0.9244207463984722,3,0.9840590288763589,3,0.8243440009014623,1
2018,01,065,0.3515869412697934,1,0.9591676358369678,3,0.985152804645816,3,0.5169388382572973,1
2018,01,067,0.6695394943458375,1,0.9575929884463794,2,0.9895731751722949,3,0.2914408493004801,1
2018,01,069,0.5376952869551883,1,0.9502606891592208,1,0.9645295853410498,1,0.25465673118758764,1
2018,01,071,0.9366368294977935,1,0.9543925055927519,1,0.9478494160312475,1,0.10332851928927289,1
2018,01,073,0.3145535830669061,1,0.9052031251593373,1,0.9351975067410909,1,0.28553752237795543,1
2018,01,075,0.8876569481183707,1,0.9777030269621718,2,0.9794462875428477,3,0.14003337480074324,1
2018,01,077,0.7562108499825322,1,0.9492234395475644,1,0.9612095969528233,1,0.12912848785377345,1
2018,01,079,0.6228989330374614,1,0.9577993654043611,2,0.8736915971775707,1,0.20331708311737223,1
2018,01,081,0.6523984580102712,1,0.9538489612854644,1,0.9183241456283134,1,0.28731218298949723,1
2018,01,083,0.7938833783381816,1,0.9016477312491236,1,0.9432056787390184,1,0.21160337251794195,1
2018,01,085,0.24328789260605171,1,0.9857204011741684,3,0.9903725245934334,3,0.7096327776953366,1
2018,01,087,0.13782234692944925,1,0.941893328402119,2,0.982908528263588,2,0.6312323215875961,1
2018,01,089,0.5616342991573876,1,0.8931067151443421,1,0.9211247773973196,1,0.26995449661903964,1
2018,01,091,0.4205778342524128,1,0.9831093588817106,3,0.9804420165145475,2,0.500667310581918,1
2018,01,093,0.9464991792874272,1,0.9598895141276231,2,0.9749762497746546,1,0.07813830182906298,1
2018,01,095,0.9386573986328605,1,0.7231543976622306,1,0.9632359625131929,1,0.16255022196301197,1
2018,01,097,0.3969373096951149,1,0.9303216172503894,1,0.9107524574604704,1,0.29389514329805067,1
2018,01,099,0.5028485689412823,1,0.9698278216533565,2,0.9502312854601942,1,0.39829075487622645,1
2018,01,101,0.29715280981970627,1,0.8757263806572184,1,0.8961293317239765,1,0.4787929845925239,1
2018,01,103,0.7266831579970154,1,0.8194404564080308,1,0.9579074200764214,1,0.1826539114528836,1
2018,01,105,0.28632521785298076,1,0.9864629202265364,3,NA,NA,0.6579726968641298,1
2018,01,107,0.5213745938061777,1,0.8736918270256683,1,0.9764646561812693,2,0.3915813264834603,1
2018,01,109,0.5673878078878326,1,0.9851573810248591,2,0.9316344943142665,1,0.41005825885570163,1
2018,01,111,0.7321317285869386,1,0.9561872875696926,2,0.9759113726097262,2,0.2328130365676219,1
2018,01,113,0.4692443734700956,1,0.9212415324755925,1,0.9404218254848157,1,0.43902583853112653,1
2018,01,115,0.8614781344387865,1,0.9557857336682987,1,0.9715915933173194,1,0.13453239749858123,1
2018,01,117,0.8335281251949173,1,0.8882447687748386,1,0.9375714487135249,1,0.20692722794917567,1
2018,01,119,0.2592096161407804,1,NA,NA,0.936669775460753,2,0.7139845251314335,1
2018,01,121,0.582114451761385,1,0.9445068588673586,1,0.9508733766062344,1,0.3226397490046222,1
2018,01,123,0.610281555555804,1,0.919806307605503,1,0.9695888068550289,2,0.2635926176574002,1
2018,01,125,0.4341019905234533,1,0.9028949195796558,1,0.9370035406367355,1,0.26022196822320015,1
2018,01,127,0.8730048283002317,1,0.9302309163400703,1,0.9699043369879973,1,0.10142178878411993,1
2018,01,129,0.7285535386670751,1,0.9717305509504949,3,0.815677461747045,1,0.31629846134722944,1
