year,state,place,share_desc_rep_total_population,share_desc_rep_total_nonhispanic,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_desc_rep_total_population_quality,share_desc_rep_total_nonhispanic_quality,share_desc_rep_asian_other_quality,share_desc_rep_black_nonhispanic_quality,share_desc_rep_total_hispanic_quality,share_desc_rep_white_nonhispanic_quality
2021,01,03076,74637,72097,0.10248268285166874,0.17720433565121857,0.034031378538794434,0.6862816029583183,1,1,1,1,1,1
2021,01,07000,202234,193400,0.03922189147225491,0.6855029322468033,0.043682071263981326,0.23159310501696054,1,1,1,1,1,1
2021,01,35896,91371,86683,0.07935778310404833,0.19131890862527498,0.05130730757023563,0.6780160007004411,1,1,1,1,1,1
2021,01,37000,210081,196657,0.06066707603257791,0.30590105721126615,0.06389916270390944,0.5695327040522465,1,1,1,1,1,1
2021,01,50000,187445,182584,0.04534663501293713,0.523721625010003,0.025932940329163223,0.4049987996478967,1,1,1,1,1,1
2021,01,51000,201022,193063,0.05579986270159485,0.6139726000139288,0.03959268139805593,0.2906348558864204,1,1,1,1,1,1
2021,01,77256,99252,94929,0.0430721799056946,0.4397896264055132,0.04355579736428485,0.4735823963245073,1,1,1,1,1,1
2021,02,03000,292545,264762,0.2921089063221043,0.051602317592165305,0.09497000461467467,0.5613187714710557,1,1,1,1,1,1
2021,04,04720,88065,38467,0.07786294214500653,0.0937375801964458,0.5631976381082155,0.26520183955033216,1,1,1,1,1,1
2021,04,07940,89711,48119,0.05931268183388882,0.05061809588567734,0.4636220753307844,0.4264471469496494,1,1,1,1,1,1
2021,04,12000,272439,213832,0.16660977319693582,0.054309405041128474,0.215119714871953,0.5639611068899827,1,1,1,1,1,1
2021,04,23620,76228,61801,0.16953088104108727,0.015020727291808785,0.18926116387679068,0.6261872277903132,1,1,1,1,1,1
2021,04,27400,262249,217392,0.10551041186048374,0.03719747263097285,0.17104736338365448,0.6862447521248889,1,1,1,1,1,1
2021,04,27820,245685,147037,0.0941164499257179,0.06849421006573458,0.40152227445713007,0.43586706555141747,1,1,1,1,1,1
2021,04,28380,93651,64493,0.09099742661583966,0.05808800760269511,0.3113474495734162,0.539567116208049,1,1,1,1,1,1
2021,04,46000,497752,360923,0.07790023947668719,0.04203298027933589,0.2748939230781594,0.6051728571658175,1,1,1,1,1,1
2021,04,54050,187733,149139,0.10471787059281,0.030106587547208002,0.20557920024715953,0.6595963416128224,1,1,1,1,1,1
2021,04,55000,1591119,911189,0.08977455488872925,0.06881823421126892,0.42732818852643956,0.41407902237356226,1,1,1,1,1,1
2021,04,65000,238685,213760,0.08666233739028427,0.021790225611161153,0.10442633596581269,0.7871211010327419,1,1,1,1,1,1
2021,04,71510,141875,112463,0.06501497797356828,0.049712775330396475,0.2073092511013216,0.6779629955947136,1,1,1,1,1,1
2021,04,73000,178862,137537,0.15675772383178094,0.07084232536816093,0.23104404512976484,0.5413559056702933,1,1,1,1,1,1
2021,04,77000,538167,298003,0.08396464294540543,0.044265070136221656,0.4462629629836092,0.42550732393476376,1,1,1,1,1,1
2021,04,85540,95154,38237,0.054448578094457405,0.022195598713664166,0.5981566723416777,0.32519915085020074,1,1,1,1,1,1
2021,05,23290,92070,85171,0.09985880308460954,0.057706093189964155,0.07493211686760073,0.7675029868578256,1,1,1,1,1,1
2021,05,24550,89116,71846,0.13010009425916783,0.08279096907401588,0.19379236051887427,0.593316576147942,1,1,1,1,1,1
2021,05,35710,77520,72453,0.05989422084623323,0.2101780185758514,0.06536377708978328,0.6645639834881321,1,1,1,1,1,1
2021,05,41000,201893,186208,0.060116002040684915,0.41162893215713275,0.07768966729901483,0.4505653985031675,1,1,1,1,1,1
2021,05,66080,85887,52348,0.15863867640038656,0.02842106488758485,0.39050147286550935,0.4224387858465193,1,1,1,1,1,1
2021,06,00562,78320,68598,0.39491828396322776,0.060137895812053116,0.1241317671092952,0.4208120531154239,1,1,1,1,1,1
2021,06,00884,83174,53472,0.53153629740063,0.0201625507971241,0.35710678817899827,0.09119436362324765,1,1,1,1,1,1
2021,06,02000,348204,160347,0.2036650928765896,0.024726884240272945,0.5395027053106799,0.23210531757245753,1,1,1,1,1,1
2021,06,02252,114750,74607,0.20022657952069717,0.19470152505446622,0.34983006535947714,0.2552418300653595,1,1,1,1,1,1
2021,06,02364,75311,45042,0.07854098338888077,0.06676315544873923,0.4019200382414256,0.4527758229209544,1,1,1,1,1,1
2021,06,03526,398756,191600,0.10706798142222311,0.06631624351733892,0.5195056626107193,0.30711011244971864,1,1,1,1,1,1
2021,06,04982,79070,32399,0.15058808650562794,0.12526874920956116,0.5902491463260402,0.1338940179587707,1,1,1,1,1,1
2021,06,06000,119607,105304,0.2779686807628316,0.07257100336936802,0.11958330198065331,0.529877013887147,1,1,1,1,1,1
2021,06,08786,83974,51199,0.35497892204730036,0.025293543239574154,0.39029937837902207,0.2294281563341034,1,1,1,1,1,1
2021,06,08954,107364,81787,0.17531015983011064,0.02882716739316717,0.2382269662084125,0.5576357065683096,1,1,1,1,1,1
2021,06,11194,114858,96545,0.14943669574605165,0.011997422904804192,0.15944035243518084,0.6791255289139634,1,1,1,1,1,1
2021,06,11530,95104,59081,0.32942883580080756,0.2221357671601615,0.3787748149394347,0.06966058209959623,1,1,1,1,1,1
2021,06,13014,103898,83731,0.10026179522223719,0.020260255250341683,0.19410383260505495,0.6853741169223662,1,1,1,1,1,1
2021,06,13210,90279,41954,0.19552719901638255,0.06445574275302118,0.5352850607561005,0.20473199747449572,1,1,1,1,1,1
2021,06,13214,78229,56891,0.42007439696276316,0.04305308772961434,0.2727632974983702,0.26410921780925234,1,1,1,1,1,1
2021,06,13392,274818,109280,0.1864652242575086,0.04799540059239205,0.6023550131359664,0.163184362014133,1,1,1,1,1,1
