year,state,county,socassn,socassn_quality
2020,01,001,12.1,1
2020,01,003,9.5,1
2020,01,005,9.1,1
2020,01,007,9,1
2020,01,009,6.6,1
2020,01,011,6.8,1
2020,01,013,9.4,1
2020,01,015,13.1,1
2020,01,017,17.8,1
2020,01,019,8.8,1
2020,01,021,14.7,1
2020,01,023,18.9,1
2020,01,025,16.5,1
2020,01,027,11.2,1
2020,01,029,8,1
2020,01,031,12.5,1
2020,01,033,15.7,1
2020,01,035,7.8,1
2020,01,037,11.6,1
2020,01,039,11.4,1
2020,01,041,9.9,1
2020,01,043,9.6,1
2020,01,045,10.3,1
2020,01,047,13.5,1
2020,01,049,8.4,1
2020,01,051,9.5,1
2020,01,053,14.4,1
2020,01,055,15.2,1
2020,01,057,7.4,1
2020,01,059,7.5,1
2020,01,061,9,1
2020,01,063,9.1,1
2020,01,065,6.1,1
2020,01,067,12.8,1
2020,01,069,10.7,1
2020,01,071,8.2,1
2020,01,073,13.8,1
2020,01,075,7.9,1
2020,01,077,13.6,1
2020,01,079,11.2,1
2020,01,081,8.3,1
2020,01,083,8.3,1
2020,01,085,4.8,1
2020,01,087,6.1,1
2020,01,089,10.4,1
2020,01,091,15,1
2020,01,093,8.9,1
2020,01,095,9.4,1
2020,01,097,10.8,1
2020,01,099,13.7,1
2020,01,101,14.2,1
2020,01,103,11.6,1
2020,01,105,9.4,1
2020,01,107,9.9,1
2020,01,109,9.4,1
2020,01,111,10.5,1
2020,01,113,9.3,1
2020,01,115,7.8,1
2020,01,117,10.1,1
2020,01,119,9.7,1
2020,01,121,11.7,1
2020,01,123,13.3,1
2020,01,125,9.3,1
2020,01,127,14.2,1
2020,01,129,14.3,1
2020,01,131,5.7,1
2020,01,133,9.3,1
2020,02,013,NA,NA
2020,02,016,NA,NA
2020,02,020,11.4,1
2020,02,050,4.3,1
2020,02,060,NA,NA
2020,02,063,NA,NA
2020,02,066,NA,NA
2020,02,068,NA,NA
2020,02,070,NA,NA
2020,02,090,9.7,1
2020,02,100,NA,NA
2020,02,105,NA,NA
2020,02,110,14.6,1
2020,02,122,16.8,1
2020,02,130,13.6,1
2020,02,150,13.7,1
2020,02,158,NA,NA
