year,state,county,election_turnout,election_turnout_quality
2016,01,001,0.613738019169329,1
2016,01,003,0.6273637741319101,1
2016,01,005,0.5138159509202453,1
2016,01,007,0.5013644115974986,1
2016,01,009,0.6030638699033702,1
2016,01,011,0.5747406955460647,1
2016,01,013,0.5660940032414911,1
2016,01,015,0.5406834227619317,1
2016,01,017,0.5249244712990937,1
2016,01,019,0.5234333089490368,1
2016,01,021,0.5821264458881318,1
2016,01,023,0.6934854969091774,1
2016,01,025,0.6788747069549362,1
2016,01,027,0.6393822393822394,1
2016,01,029,0.583709606020363,1
2016,01,031,0.5471479383480438,1
2016,01,033,0.5899135787853675,1
2016,01,035,0.6702290076335878,1
2016,01,037,0.5998857795545403,1
2016,01,039,0.5441201570233828,1
2016,01,041,0.5948742287612719,1
2016,01,043,0.6145720081135903,1
2016,01,045,0.5012431493115893,1
2016,01,047,0.6138167564919157,1
2016,01,049,0.5208955223880597,1
2016,01,051,0.6060014637716516,1
2016,01,053,0.5061370610296625,1
2016,01,055,0.5605991368367605,1
2016,01,057,0.6270619536297986,1
2016,01,059,0.5488944609072259,1
2016,01,061,0.5731416037046064,1
2016,01,063,0.7399545109931767,1
2016,01,065,0.695201037613489,1
2016,01,067,0.6053243344581928,1
2016,01,069,0.5460587820964333,1
2016,01,071,0.5151976430149767,1
2016,01,073,0.6195146787776341,1
2016,01,075,0.6355839416058394,1
2016,01,077,0.5434110125799134,1
2016,01,079,0.5704558568955569,1
2016,01,081,0.5131648532662881,1
2016,01,083,0.5991672862453532,1
2016,01,085,0.8251851851851851,1
2016,01,087,0.5700031181789835,1
2016,01,089,0.6247906389813009,1
2016,01,091,0.718092749836708,1
2016,01,093,0.5472708113804005,1
2016,01,095,0.5356996587030717,1
2016,01,097,0.5590646492434663,1
2016,01,099,0.6106420927467301,1
2016,01,101,0.568165925925926,1
2016,01,103,0.5750752285243854,1
2016,01,105,0.6921967213114754,1
2016,01,107,0.6122553737568175,1
2016,01,109,0.5137729223566133,1
2016,01,111,0.5863021582733813,1
2016,01,113,0.4464124261040918,1
2016,01,115,0.5834536199954418,1
2016,01,117,0.6786006299845855,1
2016,01,119,0.6170356111645813,1
2016,01,121,0.53743564993565,1
2016,01,123,0.6099859132884645,1
2016,01,125,0.5321750321750321,1
2016,01,127,0.5856333830104322,1
2016,01,129,0.6632724446171784,1
2016,01,131,0.718075117370892,1
2016,01,133,0.5494405966968566,1
2016,02,013,NA,NA
2016,02,016,NA,NA
2016,02,020,NA,NA
2016,02,050,NA,NA
2016,02,060,NA,NA
2016,02,068,NA,NA
2016,02,070,NA,NA
2016,02,090,NA,NA
2016,02,100,NA,NA
2016,02,105,NA,NA
2016,02,110,NA,NA
2016,02,122,NA,NA
2016,02,130,NA,NA
2016,02,150,NA,NA
2016,02,158,NA,NA
2016,02,164,NA,NA
2016,02,170,NA,NA
2016,02,180,NA,NA
2016,02,185,NA,NA
2016,02,188,NA,NA
2016,02,195,NA,NA
2016,02,198,NA,NA
2016,02,220,NA,NA
2016,02,230,NA,NA
2016,02,240,NA,NA
2016,02,261,NA,NA
2016,02,275,NA,NA
2016,02,282,NA,NA
2016,02,290,NA,NA
2016,04,001,0.5490472409686383,1
2016,04,003,0.5382876822902652,1
2016,04,005,0.5733851244425262,1
2016,04,007,0.5403729716638411,1
2016,04,009,0.46741140215716487,1
2016,04,011,0.5145554681353265,1
2016,04,012,0.3903574942604133,1
2016,04,013,0.57565506973397,1
2016,04,015,0.5061926169822073,1
2016,04,017,0.5282380702674357,1
2016,04,019,0.5852818900479592,1
2016,04,021,0.46562432607289195,1
2016,04,023,0.6051555882894495,1
2016,04,025,0.6611785095320624,1
2016,04,027,0.4398805078416729,1
2016,05,001,0.44041120170152426,1
2016,05,003,0.5145130490133673,1
2016,05,005,0.5902941615648798,1
2016,05,007,0.5972918787205823,1
2016,05,009,0.5577635450926086,1
2016,05,011,0.46036546943919343,1
2016,05,013,0.542822966507177,1
2016,05,015,0.5329700272479564,1
2016,05,017,0.4942011834319527,1
2016,05,019,0.4751184173864586,1
2016,05,021,0.4355108877721943,1
2016,05,023,0.5938574938574939,1
2016,05,025,0.525705329153605,1
2016,05,027,0.47998919794761,1
2016,05,029,0.4988672120830711,1
2016,05,031,0.47544774124565625,1
2016,05,033,0.4983351831298557,1
2016,05,035,0.45447293447293446,1
2016,05,037,0.5275518035303146,1
2016,05,039,0.4724637681159421,1
2016,05,041,0.47831460674157306,1
2016,05,043,0.4586230876216968,1
2016,05,045,0.5296962942323767,1
2016,05,047,0.5,1
2016,05,049,0.4950207468879668,1
2016,05,051,0.5424754054772667,1
2016,05,053,0.5424408014571949,1
2016,05,055,0.4451898155206586,1
2016,05,057,0.4662037037037038,1
2016,05,059,0.4577999233422768,1
2016,05,061,0.49696969696969695,1
2016,05,063,0.49236889692585895,1
2016,05,065,0.502814951545916,1
2016,05,067,0.3713359740727404,1
2016,05,069,0.4716146070485384,1
2016,05,071,0.5006593406593407,1
2016,05,073,0.5079928952042628,1
2016,05,075,0.43463302752293576,1
2016,05,077,0.386215698787492,1
2016,05,079,0.3425246195165622,1
2016,05,081,0.536652977412731,1
2016,05,083,0.4716284608514439,1
2016,05,085,0.5241779497098646,1
2016,05,087,0.5797457627118644,1
2016,05,089,0.5284014869888476,1
2016,05,091,0.48990713959506776,1
2016,05,093,0.4156776326145129,1
2016,05,095,0.4879864636209814,1
2016,05,097,0.4984593837535014,1
2016,05,099,0.48665667166416793,1
2016,05,101,0.589630793401414,1
2016,05,103,0.5253833950290852,1
2016,05,105,0.5395989974937343,1
2016,05,107,0.480013807386952,1
2016,05,109,0.4893669330055316,1
2016,05,111,0.4241691842900302,1
2016,05,113,0.5480026631158456,1
2016,05,115,0.48384607139028835,1
2016,05,117,0.5214231642694928,1
2016,05,119,0.5569242566837463,1
2016,05,121,0.47094868955334074,1
2016,05,123,0.3654697491392032,1
2016,05,125,0.6024166040353819,1
2016,05,127,0.4474187380497132,1
2016,05,129,0.5889415481832544,1
2016,05,131,0.5013703246096821,1
2016,05,133,0.45325384997516144,1
2016,05,135,0.5425898203592814,1
2016,05,137,0.5626439659489234,1
2016,05,139,0.562289898485605,1
2016,05,141,0.5495320104829652,1
2016,05,143,0.5556867936055392,1
2016,05,145,0.4619261773440815,1
2016,05,147,0.4819119025304592,1
2016,05,149,0.4389229720518064,1
2016,06,001,0.6288721428708741,1
2016,06,003,0.6726256983240223,2
2016,06,005,0.5864417989417989,1
2016,06,007,0.5600492278840801,1
2016,06,009,0.6521775898520085,1
2016,06,011,0.54227309893704,1
2016,06,013,0.6379361071768239,1
2016,06,015,0.4537384286731545,1
2016,06,017,0.6834453045129254,1
2016,06,019,0.4986558570015543,1
2016,06,021,0.5626856803327391,1
2016,06,023,0.5638717045779005,1
2016,06,025,0.484544080604534,1
2016,06,027,0.5904344651332604,1
2016,06,029,0.4842438245589679,1
2016,06,031,0.3693237504083633,1
2016,06,033,0.5101207830070804,1
2016,06,035,0.41654462695428457,1
2016,06,037,0.560841611564647,1
