year,state,place,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,01,03076,all,All,0.9728932123729368,0.9506540823627122,0.9951323423831614,2
2018,01,07000,all,All,0.9050166749084193,0.8645088524346152,0.9455244973822234,3
2018,01,35896,all,All,0.938444888076977,0.9090055145001891,0.967884261653765,3
2018,01,37000,all,All,0.9028294010184754,0.8555202785536878,0.950138523483263,3
2018,01,50000,all,All,0.8820604408267495,0.8359869294521028,0.9281339522013962,3
2018,01,51000,all,All,0.8854980129375087,0.8309613210500683,0.9400347048249492,3
2018,01,77256,all,All,0.9594450107333805,0.9329517604429549,0.9859382610238061,2
2018,02,03000,all,All,0.9197116579666915,0.8775742371141517,0.9618490788192313,2
2018,04,04720,all,All,0.8839277725767981,0.8251788284983644,0.9426767166552318,2
2018,04,07940,all,All,0.8694793057952808,0.7968204932138561,0.9421381183767055,2
2018,04,12000,all,All,0.9206390418615695,0.884226058353378,0.9570520253697611,3
2018,04,23620,all,All,0.9298673429574718,0.902855068456185,0.9568796174587585,3
2018,04,27400,all,All,0.9227760241681839,0.8874166928919831,0.9581353554443848,1
2018,04,27820,all,All,0.8454808219848973,0.7950158471574355,0.8959457968123591,1
2018,04,28380,all,All,0.9172991911502638,0.8588936751714231,0.9757047071291045,2
2018,04,46000,all,All,0.8456545589896322,0.8116952349753125,0.8796138830039518,2
2018,04,54050,all,All,0.8982031127318673,0.846999999679263,0.9494062257844715,2
2018,04,55000,all,All,0.823688662895286,0.8013260158539584,0.8460513099366136,2
2018,04,65000,all,All,0.9132284346926947,0.863656105394859,0.9628007639905303,3
2018,04,71510,all,All,0.8996443295899001,0.8162069268990819,0.9830817322807184,1
2018,04,73000,all,All,0.9620429425961817,0.9382653427935408,0.9858205423988227,3
2018,04,77000,all,All,0.8652640711116845,0.8366417878084323,0.8938863544149366,2
2018,04,85540,all,All,0.8460057747834456,0.7800368528367494,0.9119746967301419,2
2018,05,23290,all,All,0.9233449477351916,0.8827265199798785,0.9639633754905047,2
2018,05,24550,all,All,0.9102730819245775,0.8610791981615091,0.9594669656876458,2
2018,05,35710,all,All,0.9227819033781249,0.8780178179114734,0.9675459888447765,2
